date,close
0 ,0.275525
1 ,0.124084
2 ,0.582316
3 ,0.587201
4 ,0.586224
5 ,0.581339
6 ,0.58427
7 ,0.582316
8 ,0.573522
9 ,0.580362
10 ,0.581339
11 ,0.582316
12 ,0.57743
13 ,0.58427
14 ,0.579384
15 ,0.588178
16 ,0.580362
17 ,0.586224
18 ,0.578407
19 ,0.579384
20 ,0.585247
21 ,0.581339
22 ,0.58427
23 ,0.591109
24 ,0.580362
25 ,0.583293
26 ,0.583293
27 ,0.578407
28 ,0.583293
29 ,0.582316
30 ,0.578407
31 ,0.58427
32 ,0.582316
33 ,0.58427
34 ,0.581339
35 ,0.58427
36 ,0.582316
37 ,0.580362
38 ,0.582316
39 ,0.581339
40 ,0.588178
41 ,0.582316
42 ,0.590132
43 ,0.586224
44 ,0.583293
45 ,0.58427
46 ,0.576453
47 ,0.581339
48 ,0.581339
49 ,0.583293
50 ,0.582316
51 ,0.587201
52 ,0.58427
53 ,0.58427
54 ,0.581339
55 ,0.581339
56 ,0.581339
57 ,0.580362
58 ,0.58427
59 ,0.586224
60 ,0.579384
61 ,0.580362
62 ,0.576453
63 ,0.585247
64 ,0.585247
65 ,0.585247
66 ,0.579384
67 ,0.580362
68 ,0.583293
69 ,0.582316
70 ,0.580362
71 ,0.582316
72 ,0.586224
73 ,0.582316
74 ,0.58427
75 ,0.588178
76 ,0.582316
77 ,0.581339
78 ,0.585247
79 ,0.580362
80 ,0.581339
81 ,0.583293
82 ,0.580362
83 ,0.58427
84 ,0.581339
85 ,0.581339
86 ,0.586224
87 ,0.581339
88 ,0.581339
89 ,0.580362
90 ,0.583293
91 ,0.580362
92 ,0.58427
93 ,0.587201
94 ,0.579384
95 ,0.589155
96 ,0.582316
97 ,0.576453
98 ,0.578407
99 ,0.58427
100 ,0.581339
101 ,0.583293
102 ,0.579384
103 ,0.581339
104 ,0.582316
105 ,0.580362
106 ,0.582316
107 ,0.579384
108 ,0.582316
109 ,0.581339
110 ,0.578407
111 ,0.579384
112 ,0.580362
113 ,0.580362
114 ,0.582316
115 ,0.583293
116 ,0.581339
117 ,0.579384
118 ,0.57743
119 ,0.58427
120 ,0.580362
121 ,0.58427
122 ,0.578407
123 ,0.586224
124 ,0.580362
125 ,0.58427
126 ,0.579384
127 ,0.579384
128 ,0.580362
129 ,0.585247
130 ,0.580362
131 ,0.59404
132 ,0.581339
133 ,0.581339
134 ,0.582316
135 ,0.58427
136 ,0.588178
137 ,0.582316
138 ,0.58427
139 ,0.582316
140 ,0.587201
141 ,0.586224
142 ,0.598925
143 ,0.569614
144 ,0.595017
145 ,0.58427
146 ,0.576453
147 ,0.58427
148 ,0.589155
149 ,0.580362
150 ,0.585247
151 ,0.582316
152 ,0.585247
153 ,0.587201
154 ,0.589155
155 ,0.578407
156 ,0.580362
157 ,0.586224
158 ,0.582316
159 ,0.583293
160 ,0.581339
161 ,0.578407
162 ,0.583293
163 ,0.579384
164 ,0.58427
165 ,0.580362
166 ,0.578407
167 ,0.580362
168 ,0.582316
169 ,0.585247
170 ,0.580362
171 ,0.58427
172 ,0.583293
173 ,0.591109
174 ,0.582316
175 ,0.591109
176 ,0.580362
177 ,0.58427
178 ,0.589155
179 ,0.580362
180 ,0.591109
181 ,0.593063
182 ,0.580362
183 ,0.595017
184 ,0.556913
185 ,0.57743
186 ,0.579384
187 ,0.563752
188 ,0.562775
189 ,0.544211
190 ,0.570591
191 ,0.553981
192 ,0.521739
193 ,0.525647
194 ,0.506106
195 ,0.535418
196 ,0.49829
197 ,0.379091
198 ,0.448461
199 ,0.485589
200 ,0.416219
201 ,0.410357
202 ,0.41915
203 ,0.356619
204 ,0.273571
205 ,0.182706
206 ,0.288227
207 ,0.162189
208 ,0.115291
209 ,0.030288
210 ,0.053737
211 ,-0.021495
212 ,0.003908
213 ,-0.075232
214 ,-0.119199
215 ,-0.113337
216 ,-0.084025
217 ,-0.461163
218 ,-0.239375
219 ,-0.359551
220 ,-0.087934
221 ,-0.27064
222 ,-0.33317
223 ,-0.189546
224 ,-0.232535
225 ,-0.04299
226 ,-0.050806
227 ,-0.331216
228 ,-0.511969
229 ,0.1915
230 ,-0.215926
231 ,-0.011724
232 ,0.091842
233 ,-0.004885
234 ,-0.121153
235 ,0.695652
236 ,-0.358574
237 ,0.123107
238 ,-0.048852
239 ,0.020518
240 ,-0.307767
241 ,-0.119199
242 ,-0.087934
243 ,-0.820713
244 ,-0.286273
245 ,-0.49829
246 ,-0.535418
247 ,-0.510992
248 ,-0.382022
249 ,-0.794333
250 ,-0.580362
251 ,-0.56766
252 ,-0.530532
253 ,-0.225696
254 ,-0.274548
