number,vib
439,0.745481
440,1.044455
441,0.707377
442,0.499267
443,0.7064
444,0.219834
445,-0.035173
446,-0.124084
447,0.124084
448,-0.02638
449,-0.916463
450,-0.704446
451,-0.553004
452,-0.561798
453,-1.526136
454,-0.253053
455,0.153395
456,-0.207132
457,-0.142648
458,0.002931
459,0.456277
460,0.817782
461,1.047386
462,0.213972
463,1.31998
464,1.518319
465,1.217391
466,0.653639
467,0.505129
468,0.817782
469,0.55105
470,0.736688
471,0.533464
472,0.350757
473,0.074255
474,0.048852
475,-0.04299
476,-0.421104
477,0.495359
478,-0.756229
479,-0.02638
480,0.14851
481,0.024426
482,-0.071324
483,-0.183683
484,-0.12213
485,0.237421
486,-0.034196
487,0.302882
488,0.675134
489,2
490,0.206155
491,0.940889
492,1.423547
493,0.747435
494,0.772838
495,0.851979
496,1.302394
497,0.213972
498,0.368344
499,0.554958
500,0.259893
501,0.063508
502,0.008793
503,0.233512
504,-0.450415
505,-0.249145
506,0.075232
507,-0.157303
508,0.020518
509,1.852467
510,0.319492
511,1.195896
512,1.2936
513,0.501221
514,1.097215
515,0.755252
516,1.050318
517,0.895945
518,-0.307767
519,0.638007
520,0.467025
521,0.189546
522,0.008793
523,0.250122
524,0.325354
525,-0.168051
526,0.022472
527,-1.009282
528,-0.059599
529,0.188569
530,-0.234489
531,-0.418173
532,-0.298974
533,0.071324
534,-0.206155
535,-0.065462
536,0.010747
537,0.568637
538,0.855887
539,0.126038
540,0.00977
541,1.11871
542,1.018075
543,0.959453
544,0.765022
545,0.869565
546,0.744504
547,-0.453346
548,0.632145
549,0.34978
550,0.13874
551,0.133854
552,0.118222
553,0.450415
554,-0.200293
555,0.677088
556,-0.487543
557,-0.276502
558,0.517831
559,0.17489
560,-0.160234
561,-0.049829
562,-0.060576
563,0.207132
564,0.118222
565,0.866634
566,2
567,0.223742
568,0.856864
569,1.750855
570,0.753298
571,0.681974
572,0.836346
573,1.025892
574,0.500244
575,0.704446
576,0.537372
577,0.00977
578,0.004885
579,0.236444
580,0.372252
581,-0.144602
582,0.469956
583,-1.707865
584,-0.042013
585,0.133854
586,-1.775281
587,-0.15828
588,-0.255007
589,-0.368344
590,0.021495
591,0.135809
592,-0.100635
593,0.661456
594,0.723986
595,0.325354
596,1.263312
597,1.671715
598,1.058134
599,0.961407
600,0.665364
601,1.085491
602,0.543234
603,0.650708
604,0.377137
605,0.011724
606,0.044944
607,-0.170982
608,0.152418
609,-0.688813
610,0.062531
611,-1.189057
612,-0.010747
613,0.300928
614,-0.292135
615,-0.145579
616,-0.294089
617,-0.537372
618,-0.150464
619,-0.261847
620,0.050806
621,0.666341
622,2
623,0.656571
624,1.355154
625,1.312164
626,0.721055
627,1.140205
628,0.619443
629,0.998534
630,0.767953
631,-0.267709
632,0.504152
633,0.353688
634,0.206155
635,-0.019541
636,-0.298974
637,0.624328
638,-0.6468
639,2
640,-0.214949
641,-0.316561
642,-1.763556
643,-0.063508
644,-0.204201
645,-0.559844
646,-0.178798
647,0.068393
648,0.722032
649,0.295066
650,0.568637
651,0.302882
652,0.712262
653,1.130435
654,0.992672
655,1.919883
656,0.60381
657,1.044455
658,-1.059111
659,0.58427
660,0.502198
661,0.133854
662,-0.108451
663,0.043967
664,-0.073278
665,-0.375183
666,-0.338056
667,-0.631168
668,0.157303
669,0.268686
670,-0.13874
671,-0.116268
672,-0.219834
673,-0.077186
674,-0.361505
675,-0.573522
676,0.032242
677,-0.291158
678,-1.914998
679,0.199316
680,1.242794
681,-0.822667
682,1.123596
683,0.684905
684,0.841231
685,0.59404
686,0.870542
687,0.643869
688,0.552027
689,0.347826
690,0.01661
691,0.065462
692,0.108451
693,0.097704
694,-0.371275
695,-1.042501
696,0.072301
697,0.203224
698,-0.245237
699,-0.017587
700,-0.317538
701,-0.117245
702,-0.071324
703,-0.091842
704,-0.007816
705,0.82169
706,2
707,0.200293
708,1.020029
709,1.189057
710,0.918417
711,1.886663
712,0.697606
713,0.957499
714,0.765022
715,0.703468
716,0.831461
717,0.385931
718,0.02638
719,0.073278
720,0.120176
721,0.102589
722,0.413288
723,-0.6468
724,-0.152418
725,0.073278
726,-0.792379
727,-0.020518
728,-0.047875
729,-0.228627
730,-0.189546
731,0.083048
732,0.255984
733,0.447484
734,0.805081
735,0.132877
736,1.365901
737,1.520274
738,0.633122
739,0.739619
740,0.772838
741,1.027846
742,0.951637
743,0.502198
744,0.904739
745,0.400586
746,0.235467
747,0.011724
748,0.054714
749,0.215926
750,-0.31363
751,0.747435
752,-0.352711
753,0.230581
754,-0.343918
755,-0.043967
756,-0.011724
757,-0.289204
758,-0.147533
759,-1.052272
760,0.183683
761,0.001954
762,0.067416
763,0.303859
764,1.242794
765,-0.035173
766,1.288715
767,0.860772
768,1.057157
769,0.82169
770,-0.684905
771,0.658525
772,0.395701
773,0.197362
774,0.240352
775,0.034196
776,0.446507
777,-0.360528
778,0.54128
779,-1.209575
780,-0.157303
781,0.674157
782,-0.021495
783,-0.255007
784,-0.427943
785,-0.238398
786,-0.120176
787,-0.783586
788,0.106497
789,0.540303
790,1.205667
791,0.264778
792,0.918417
793,1.647289
794,1.086468
795,0.787494
796,0.703468
797,0.995603
798,0.092819
799,0.627259
800,0.058622
801,0.276502
802,0.100635
803,-0.065462
804,-0.085979
805,0.486566
